Title	Start Time	End Time	Instrument Group	Instrument	Theme
Han and Leia	0:00	0:10	Woodwind		
Han and Leia	0:10	0:30	Woodwind	Flute	Leia
Han and Leia	0:30	1:10	Strings	Cello	Han and Leia
Han and Leia	0:55	1:10	Woodwind	Oboe	Han and Leia
Han and Leia	1:10	1:25	Strings		Resistance
Han and Leia	1:25	1:33	Strings		Resistance 2
Han and Leia	1:25	1:33	Brass		Resistance 2
Han and Leia	1:33	1:45	Woodwind		Resistance 3
Han and Leia	1:33	1:35	Brass		Resistance 3
Han and Leia	1:37	1:39	Strings		Resistance 3
					
			Woodwind	Flute	Leia?
			Strings		???
	2:40		Strings		
			Woodwind	Clarinet	
					
Han and Leia	3:20	3:40	Strings		Han and Leia
Han and Leia	3:40	4:00	Brass		Kylo Ren
Han and Leia	4:00	4:20	Brass		Force Theme
Han and Leia	4:20	4:41	Woodwind		???
